"ROLE_ID","CONTACT_ID","R01_ORG_NAME"
3,1532,"Compagnie Tunisienne Pour L'Assurance Du Commerce Exterieur-Cotunace"
3,1536,"Companhia de Interconexao Energetica - CIEN"
3,1541,"Companhia Energetica Santa Elisa"
3,1542,"Compania de Minas Buenaventura"
3,1544,"Compania Espanola de Financiacion del Desarrollo, COFIDES, S.A"
3,1546,"Compania Minera Erika S.A.C."
3,1548,"CAP (Compañía de Acero del Pacífico)"
3,1550,"Comparte"
3,1557,"Compfitt A/S"
3,1558,"Complexe Chimique Camerounais (C.C.C)"
3,1560,"CompuMe"
3,1561,"CONAJE"
3,1564,"Conceria M2 sas di Masoni Ademaro & Co"
3,1566,"Concern MG Baltic"
3,1567,"Condominio Conjunto Nacional"
3,1568,"Confederacao das Associacoes Comerciais e Empresariais do Brazil - CACB"
3,1570,"Confederacion de Camaras Industriales de los Estados Unidos Mexicanos CONCAMIN"
3,1571,"Confederacion Empresarial de Ourense"
3,1573,"Confederación Española de Organizaciones Empresariales"
3,1575,"Confederación Española de Organizaciones Empresariales"
3,1576,"Confederacion Patronal de la Republica Mexicana, C.P (COPARMEX)"
3,1578,"Confederation of Danish Industries"
3,1579,"Confederation of Danish Industries"
3,1584,"Confederation of India Industry"
3,1592,"CONFIEP - National Confederation of Private Business Associations "
3,1593,"Confiserie du Roy Rene"
3,1594,"Confservizi"
3,1595,"Congress Centre Sofia"
3,1597,"Connecting-Managers"
3,1598,"Conness Energieberatungs-Planungs- und Betriebs GMBH"
3,1602,"William E. Connor & Associates Ltd"
3,1608,"CONSCIO"
3,1609,"Consejeros Independientes S.L. (CEMAD)"
3,1610,"Consejo Mexicano para el Desarrollo Economico y Social, A.C."
3,1611,"Conserjes de Madrid, s.l."
3,1616,"Conservation International"
3,1617,"Conserves Stephan"
3,1619,"Consolidated Contractors Company"
3,1620,"Consorcio Agroindustrial, S.A."
3,1622,"Consort NT"
3,1624,"Construction Industry Development Council"
3,1625,"Constructora Arco S.A."
3,1626,"Constructus UAB"
3,1628,"Consulteam SAS"
3,1630,"Contazara - Contadores de Agua de Zaragoza"
3,1631,"Contratas y Obras Empresa Constructora S.A."
3,1634,"Control Union Norte S.A."
3,1637,"Cooperativa Electrica Colon Bs. As."
3,1639,"Cooperativa Sociale La Gioiosa"
3,1640,"Cooperative de Provision de Servicios"
